,population,state,median income,unemployment rate,adults college educated,poverty rate,image_src
New York,8335897,New York,"74,694",6.4%,41.4%,18.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_%28cropped%29.jpg/2000px-View_of_Empire_State_Building_from_Rockefeller_Center_New_York_City_dllu_%28cropped%29.jpg
Los Angeles,3822238,California,"76,135",6.7%,38.2%,16.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Hollywood_Sign_%28Zuschnitt%29.jpg/2000px-Hollywood_Sign_%28Zuschnitt%29.jpg
Chicago,2665039,Illinois,"70,386",6.4%,43.7%,17.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Chicago_River_Morning_%2844455011711%29.jpg/2000px-Chicago_River_Morning_%2844455011711%29.jpg
Houston,2302878,Texas,"60,426",5.9%,35.6%,20.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Texas_medical_center.jpg/2000px-Texas_medical_center.jpg
Phoenix,1644409,Arizona,"75,969",4.3%,32.7%,13.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/2014%2C_Last_Light_on_a_Papago_Park_Pond_-_panoramio.jpg/2000px-2014%2C_Last_Light_on_a_Papago_Park_Pond_-_panoramio.jpg
Philadelphia,1567258,Pennsylvania,"56,517",7.0%,36.3%,21.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Independence_National_Historical_Park_INDE0004_b.jpg/2000px-Independence_National_Historical_Park_INDE0004_b.jpg
San Antonio,1472909,Texas,"58,829",5.0%,29.1%,18.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Alamo_Mission_San_Antonio_at_Night.jpg/2000px-Alamo_Mission_San_Antonio_at_Night.jpg
San Diego,1381162,California,"100,010",4.8%,51.2%,11.3%,https://upload.wikimedia.org/wikipedia/commons/e/ea/La_Jolla_Shores_view_%28cropped%29.jpg
Dallas,1299544,Texas,"65,400",4.0%,38.1%,17.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/View_of_Dallas_from_Reunion_Tower_August_2015_13.jpg/2000px-View_of_Dallas_from_Reunion_Tower_August_2015_13.jpg
Austin,974447,Texas,"89,415",3.0%,59.9%,11.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/View_of_Downtown_Austin_from_Pfluger_Pedestrian_Bridge_October_2022.jpg/2000px-View_of_Downtown_Austin_from_Pfluger_Pedestrian_Bridge_October_2022.jpg
Jacksonville,971319,Florida,"69,309",4.2%,33.0%,14.1%,https://upload.wikimedia.org/wikipedia/commons/9/90/Eclips_at_Talleyrand_Marine_Terminal.jpg
San Jose,971233,California,"133,835",3.6%,47.6%,9.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Valencia_Hotel%2C_Santana_Row_%28cropped%29.jpg/2000px-Valencia_Hotel%2C_Santana_Row_%28cropped%29.jpg
Fort Worth,956709,Texas,"71,527",4.0%,31.8%,12.0%,https://upload.wikimedia.org/wikipedia/commons/b/bb/Downtown_Fort_Worth_Sunset.jpg
Columbus,202616,Georgia,"53,750",5.8%,31.8%,17.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Downtown_Columbus%2C_Georgia_skyline.jpg/2000px-Downtown_Columbus%2C_Georgia_skyline.jpg
Charlotte,897720,North Carolina,"74,401",3.3%,48.8%,11.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Uptown_Charlotte_2018_taking_by_DJI_Phantom_4_pro.jpg/2000px-Uptown_Charlotte_2018_taking_by_DJI_Phantom_4_pro.jpg
Indianapolis,880621,Indiana,"61,501",4.9%,35.9%,15.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Indianapolis-1872528.jpg/2000px-Indianapolis-1872528.jpg
San Francisco,808437,California,"136,692",3.7%,61.4%,10.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/San_Francisco_from_the_Marin_Headlands_in_August_2022.jpg/2000px-San_Francisco_from_the_Marin_Headlands_in_August_2022.jpg
Seattle,749256,Washington,"115,409",3.3%,67.3%,10.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Seattle_Center_as_night_falls.jpg/2000px-Seattle_Center_as_night_falls.jpg
Denver,713252,Colorado,"88,213",3.7%,57.1%,11.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Coloradocapitolhill2.JPG/2000px-Coloradocapitolhill2.JPG
Oklahoma City,694800,Oklahoma,"63,713",4.1%,35.8%,15.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Downtown_Oklahoma_City_skyline_at_twilight.jpg/2000px-Downtown_Oklahoma_City_skyline_at_twilight.jpg
Nashville,683622,Tennessee,"71,767",3.4%,48.7%,14.1%,https://upload.wikimedia.org/wikipedia/commons/e/e4/Parthenon_Nashville.png
El Paso,677456,Texas,"52,645",6.0%,28.1%,21.7%,https://upload.wikimedia.org/wikipedia/commons/6/6d/Downtown_El_Paso_at_sunset.jpeg
Washington,671803,District of Columbia,"101,027",5.1%,65.4%,13.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/US_Capitol_west_side.JPG/2000px-US_Capitol_west_side.JPG
Las Vegas,656274,Nevada,"68,905",5.4%,26.7%,14.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/DowntownLasVegas.jpg/2000px-DowntownLasVegas.jpg
Boston,650706,Massachusetts,"86,331",5.2%,54.2%,17.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/ISH_WC_Boston4.jpg/2000px-ISH_WC_Boston4.jpg
Portland,635067,Oregon,"81,119",4.5%,52.5%,12.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Portland_and_Mt._Hood_from_Pittock_Mansion.jpg/2000px-Portland_and_Mt._Hood_from_Pittock_Mansion.jpg
Louisville,624444,Kentucky,"63,049",5.2%,35.3%,16.3%,https://upload.wikimedia.org/wikipedia/commons/5/55/Louisville_Skyline_2021_%283%29.jpg
Memphis,621056,Tennessee,"50,622",6.1%,30.5%,21.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Memphis_from_the_water_2022j_%28cropped%29.jpg/2000px-Memphis_from_the_water_2022j_%28cropped%29.jpg
Detroit,620376,Michigan,"36,453",12.4%,17.0%,33.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Detroit_Skyline_%28123143197%29.jpeg/2000px-Detroit_Skyline_%28123143197%29.jpeg
Baltimore,569931,Maryland,"55,198",5.5%,34.8%,18.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Fell%27s_Point_Aerial_2022.jpg/2000px-Fell%27s_Point_Aerial_2022.jpg
Milwaukee,563305,Wisconsin,"49,270",5.0%,27.7%,22.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Milwaukee_Skyline_2023.jpg/2000px-Milwaukee_Skyline_2023.jpg
Albuquerque,561008,New Mexico,"64,757",4.2%,40.1%,14.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Abqdowntown.jpg/2000px-Abqdowntown.jpg
Tucson,546574,Arizona,"51,281",5.8%,31.7%,19.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/View_of_Tucson_from_Sentinel_Peak_2.jpg/2000px-View_of_Tucson_from_Sentinel_Peak_2.jpg
Fresno,545567,California,"64,196",7.9%,25.2%,20.6%,https://upload.wikimedia.org/wikipedia/commons/c/c5/Fresno_Bee_Building_Dec_2012_%28cropped%29.jpg
Sacramento,528001,California,"80,254",5.0%,36.9%,13.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Sacramento%2C-California---State-Capitol_%28cropped%29.jpg/2000px-Sacramento%2C-California---State-Capitol_%28cropped%29.jpg
Mesa,512498,Arizona,"79,496",3.7%,30.1%,9.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Mesa_Arts_Center_-_West_-_2009-09-16.JPG/2000px-Mesa_Arts_Center_-_West_-_2009-09-16.JPG
Kansas City,509297,Missouri,"62,175",3.5%,38.5%,14.6%,https://upload.wikimedia.org/wikipedia/commons/7/79/Kansas_City_-_Downtown_-_panoramio_%2815%29.jpg
Atlanta,499127,Georgia,"83,251",4.8%,59.3%,17.3%,https://upload.wikimedia.org/wikipedia/commons/7/70/Atlanta_cityscape.jpg
Colorado Springs,486248,Colorado,"78,568",4.1%,43.8%,9.5%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/CC_COSPRINGS.jpg/2000px-CC_COSPRINGS.jpg
Omaha,485153,Nebraska,"67,450",3.3%,40.9%,13.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/City_of_Omaha%2C_Nebraska_Skyline_on_the_Missouri_River_%2830899969517%29.jpg/2000px-City_of_Omaha%2C_Nebraska_Skyline_on_the_Missouri_River_%2830899969517%29.jpg
Raleigh,476587,North Carolina,"75,424",3.2%,53.5%,11.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Raleigh_Skyline.jpg/2000px-Raleigh_Skyline.jpg
Virginia Beach,455618,Virginia,"83,245",3.4%,40.3%,10.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/VB_Oceanfront.jpg/2000px-VB_Oceanfront.jpg
Long Beach,451307,California,"80,493",4.9%,36.2%,13.8%,https://upload.wikimedia.org/wikipedia/commons/c/c8/Long_beach3_%28cropped%29.jpg
Miami,449514,Florida,"60,989",4.0%,38.7%,18.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Villa_Vizcaya_20110228.jpg/2000px-Villa_Vizcaya_20110228.jpg
Oakland,430553,California,"93,146",4.2%,50.7%,13.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/OAKLAND%2C_CA%2C_USA_-_Skyline_and_Bridge_%28cropped%29.JPG/2000px-OAKLAND%2C_CA%2C_USA_-_Skyline_and_Bridge_%28cropped%29.JPG
Minneapolis,425096,Minnesota,"74,473",4.6%,55.9%,17.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Minneapolis_Skyline_looking_south.jpg/2000px-Minneapolis_Skyline_looking_south.jpg
Tulsa,411867,Oklahoma,"54,040",4.8%,34.3%,20.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Skyline_Tulsa.jpg/2000px-Skyline_Tulsa.jpg
Bakersfield,410647,California,"72,017",7.4%,23.1%,16.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/2009-0726-CA-Bakersfield-FoxTheater_%28cropped%29.jpg/2000px-2009-0726-CA-Bakersfield-FoxTheater_%28cropped%29.jpg
Tampa,398173,Florida,"71,089",4.3%,46.2%,16.3%,https://upload.wikimedia.org/wikipedia/commons/c/c4/Downtown_Tampa_Skyline.jpg
Wichita,396192,Kansas,"59,277",6.0%,33.1%,18.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Wichita_Skyline_2021.jpg/2000px-Wichita_Skyline_2021.jpg
Arlington,394602,Texas,"70,433",4.2%,31.0%,11.7%,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg/2000px-Arlington_June_2020_4_%28AT%26T_Stadium%29.jpg
Aurora,177866,Illinois,"84,578",4.5%,36.5%,8.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Aurora%2C_Illinois_skyline.jpg/2000px-Aurora%2C_Illinois_skyline.jpg
New Orleans,369749,Louisiana,"52,322",6.8%,43.5%,22.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/New_Orleans_skyline-02.jpg/2000px-New_Orleans_skyline-02.jpg
Cleveland,361607,Ohio,"37,351",8.9%,23.7%,31.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/CLE_skyline.png/2000px-CLE_skyline.png
Anaheim,344461,California,"85,133",3.8%,28.3%,14.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Sleeping_beauty_castle_dlr_2019.jpg/2000px-Sleeping_beauty_castle_dlr_2019.jpg
Honolulu,343421,Hawaii,"82,006",3.7%,40.9%,12.4%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Downtown_Honolulu_from_P%C5%ABowaina_%28Punchbowl_Crater%29.jpg/2000px-Downtown_Honolulu_from_P%C5%ABowaina_%28Punchbowl_Crater%29.jpg
Henderson,331415,Nevada,"81,695",4.6%,36.0%,10.1%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Lake_Las_Vegas_aerial_view.jpg/2000px-Lake_Las_Vegas_aerial_view.jpg
Stockton,321819,California,"76,231",6.8%,20.5%,14.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Downtown_Stockton_California.jpg/2000px-Downtown_Stockton_California.jpg
Riverside,320764,California,"81,228",4.9%,26.7%,12.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/MissionInn_SpanishWing.jpg/2000px-MissionInn_SpanishWing.jpg
Lexington,320347,Kentucky,"62,908",5.4%,48.1%,14.7%,https://upload.wikimedia.org/wikipedia/commons/5/52/Lexington_montage.jpg
Corpus Christi,316239,Texas,"60,958",4.8%,24.4%,16.8%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Corpus_Christi_bay.jpg/2000px-Corpus_Christi_bay.jpg
Orlando,316081,Florida,"65,354",4.1%,45.0%,14.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Lake_Eola_Park_in_Orlando_02.jpg/2000px-Lake_Eola_Park_in_Orlando_02.jpg
Irvine,313685,California,"123,003",4.6%,70.4%,11.2%,https://upload.wikimedia.org/wikipedia/commons/9/9f/Irvine_City_Hall.jpg
Cincinnati,309513,Ohio,"48,130",5.3%,40.8%,26.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Downtown_Cincinnati_viewed_from_Mt._Adams_%28cropped%29.jpg/2000px-Downtown_Cincinnati_viewed_from_Mt._Adams_%28cropped%29.jpg
Santa Ana,308189,California,"79,351",4.7%,17.8%,11.3%,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/California_-_Santora_Building_-_20180915152902_%28cropped%29.jpg/2000px-California_-_Santora_Building_-_20180915152902_%28cropped%29.jpg
Newark,305344,New Jersey,"49,688",9.2%,20.0%,24.0%,https://upload.wikimedia.org/wikipedia/commons/6/64/Newark_Skyline_Northwest_View.jpg
St. Paul,303176,Minnesota,"67,725",4.1%,45.0%,16.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/James_J._Hill_House_%28cropped%29.jpg/2000px-James_J._Hill_House_%28cropped%29.jpg
Pittsburgh,302898,Pennsylvania,"63,380",5.3%,50.4%,19.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Phipps_Conservatory_%26_Botanical_Gardens_132.jpg/2000px-Phipps_Conservatory_%26_Botanical_Gardens_132.jpg
Greensboro,301115,North Carolina,"55,120",3.2%,40.8%,21.9%,https://upload.wikimedia.org/wikipedia/commons/e/e5/Greensboro_Skyline.jpg
Lincoln,292627,Nebraska,"62,391",2.7%,40.6%,14.0%,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Nebraska_State_Capitol_Building%2C_Lincoln_%2844016962335%29.jpg/2000px-Nebraska_State_Capitol_Building%2C_Lincoln_%2844016962335%29.jpg
Durham,291928,North Carolina,"78,105",2.9%,56.4%,11.2%,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Carolina_Theatre_%28Durham_Auditorium_1924%29.jpg/2000px-Carolina_Theatre_%28Durham_Auditorium_1924%29.jpg
Plano,289547,Texas,"103,916",3.3%,59.1%,4.9%,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Legacy_town_center_plano.jpg/2000px-Legacy_town_center_plano.jpg
Anchorage,287145,Alaska,"95,731",4.0%,37.0%,9.6%,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Anchorage_Skyline_in_Winter_-_Hotel_Captain_Cook_-_Anchorage_Alaska.jpg/2000px-Anchorage_Skyline_in_Winter_-_Hotel_Captain_Cook_-_Anchorage_Alaska.jpg
